Name_ID ,Name_OfficialCombined,Name_Official,,Name_FirstName,Name_ForwardName,Name_DateExpression,Name_BirthDateFilter,Name_DeathDateFilter,Name_Type,Name_KressInstitutionType,Name_InstitutionStatus,Name_Location,Name_LocationFilter,Name_InstitutionWeb,Name_Nationality ,Name_NationalityFilter,Name_ULANID,Name_ULANURI,Name_VIAFID,Name_VIAFURI,Name_LCCNID,Name_LCCNURI,Name_WikipediaURL,Name_TMSID,Name_InternalNote,Name_RelatedObjectID,Name_RelatedAcquisitionID,Name_RelatedDocumentID,Name_RelatedObjectID (previous attribution),,,
NAM0001,"Abate, Niccolò dell', 1509/1512-1571","Abate, Niccolò dell'",Abate,Niccolò dell',Niccolò dell' Abate,1509/1512-1571,1505,1575,Artist,,,,,,Italian,Italian,500011972,http://vocab.getty.edu/page/ulan/500011972,88804962,http://viaf.org/viaf/88804962,n85241595,http://id.loc.gov/authorities/names/n85241595,https://en.wikipedia.org/wiki/Niccol%C3%B2_dell%27Abbate,3474,,,,,2209,,,
NAM0002,Acquavella Galleries,,Acquavella Galleries,,,,,,Seller,,,"New York, New York",New York,,,,,,132158863,http://viaf.org/viaf/132158863,n85812803,http://id.loc.gov/authorities/names/n85812803,https://en.wikipedia.org/wiki/Acquavella_Galleries,646,,,ACQ208,,,,,
NAM0003,"Adam, Robert, 1728-1792","Adam, Robert",Adam,Robert,Robert Adam,1728-1792,1728,1792,Artist,,,,,,British,British,500008907,http://vocab.getty.edu/page/ulan/500008907,59122607,http://viaf.org/viaf/59122607,n50035115,http://id.loc.gov/authorities/names/n50035115,,6560,architect,,,,,,,
NAM0004,"Adelia M. Russell Library [Alexander Public Library], Alexander City, Alabama",Adelia M. Russell Library [Alexander Public Library],Adelia M. Russell Library [Alexander Public Library],,,,,,Institution,Kress Gift Location,Current Owner,"Alexander City, Alabama",Alabama,http://www.amrlibrary.net/index.php,,,,,,,,,,35511,,,,,,,,
NAM0005,"Adriano Fiorentino, c. 1450/1460-1499",Adriano Fiorentino,Adriano Fiorentino,,Adriano Fiorentino,c. 1450/1460-1499,1445,1499,Artist,,,,,,Florentine,Italian,500047965,http://vocab.getty.edu/page/ulan/500047965,95999609,http://viaf.org/viaf/95999609,,,https://en.wikipedia.org/wiki/Adriano_Fiorentino,1997,,,,,,,,
NAM0006,"Adriobyzantine Master, second half of the 13th century",Adriobyzantine Master,Adriobyzantine Master,,Adriobyzantine Master,second half of the 13th century,1250,1299,Artist,,,,,,Italian,Italian,,,,,,,,50377,,,,,,,,
NAM0007,Thos. Agnew and Sons Ltd.,,Thos. Agnew and Sons Ltd.,,,,,,Seller,,,"London, England",England,,,,,,123733622,http://viaf.org/viaf/123733622,n78013823,http://id.loc.gov/authorities/names/n78013823,https://en.wikipedia.org/wiki/Thomas_Agnew_%26_Sons,648,,,ACQ012,DOC16378,,,,
NAM0008,"Agostini, Giovanni Paolo degli, c. 1490-c. 1524","Agostini, Giovanni Paolo degli",Agostini,Giovanni Paolo degli,Giovanni Paolo degli Agostini,c. 1490-c. 1524,1485,1529,Artist,,,,,,Italian,Italian,500019227,http://vocab.getty.edu/page/ulan/500019227,95799398,http://viaf.org/viaf/95799398,,,,37210,,,,,,,,
NAM0009,"Albani, Francesco, 1578-1660","Albani, Francesco",Albani,Francesco,Francesco Albani,1578-1660,1578,1660,Artist,,,,,,Bolognese,Italian,500005860,http://vocab.getty.edu/page/ulan/500005860,69070806,http://viaf.org/viaf/69070806,n83301315,http://id.loc.gov/authorities/names/n83301315,,2339,,,,,,,,
NAM0010,"Albany Institute of History and Art, Albany, New York",Albany Institute of History and Art,Albany Institute of History and Art,,,,,,Institution,Kress Gift Location,Former Owner,"Albany, New York",New York ,,,,500304506,http://vocab.getty.edu/page/ulan/500304506,152215855,http://viaf.org/viaf/152215855,n80080455,http://id.loc.gov/authorities/names/n80080455,https://en.wikipedia.org/wiki/Albany_Institute_of_History_%26_Art,23665,,,,,,,,
