Doc_ID,Doc_TitleDescription,Doc_NameID [NameAuthority::OfficialCombined] ,[NameAuthority::OfficialCombined] Reference,Doc_Photographer,Doc_Date,Doc_BeginDateFilter,Doc_EndDateFilter,Doc_Type,Doc_Source,Doc_Note,Doc_ObjectID [Object::Object_KressCatalogNumber...Object_Title…Object_ArtistNameID [NameAuthority::OfficialCombined]...Object_InstitutionNameID [NameAuthority::OfficialCombined]],Object_KressCatalogNumber reference,Object_Title Reference,Object_ArtistOfficalCombined Reference,Object_InstitutionOfficialCombined reference,Doc_DocumentFilename,Doc_RelatedObjectID,,
DOC00001,"K1406 - Art object record, circa 1930s-1950s",NAM0599,SHKF,,circa 1930s-1950s,1930,1959,Art Object Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2190,K1406,The Herdsman,Follower of Claude Lorrain,National Gallery of Art,52A2_K1406_01_00001.pdf,2190,,
DOC00002,"K1406 - Expert opinion by Friedlaender, 1946",NAM0838,Friedlaender ,,1946,1945,1949,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2190,K1406,The Herdsman,Follower of Claude Lorrain,National Gallery of Art,52A2_K1406_02_00002.pdf,2190,,
DOC00003,"K0007 - Expert opinion by Longhi, 1926",NAM0915,Longhi ,,1926,1925,1929,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1800,K0007,Saint Apollonia Destroys a Pagan Idol,Giovanni d'Alemagna,National Gallery of Art,52A2_K0007_02_00003.pdf,1800,,
DOC00004,"K1406 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,Alfred R. Martin,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2190,K1406,The Herdsman,Follower of Claude Lorrain,National Gallery of Art,52A2_K1406_04_00004.pdf,2190,,
DOC00005,"K1369 - Art object record, circa 1930s-1950s",NAM0599,SHFK,,circa 1930s-1950s,1930,1959,Art Object Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2120,K1369,The Crucifixion,Attributed to Bernardo Daddi,National Gallery of Art,52A2_K1369_01_00005.pdf,2120,,
DOC00006,"K1369 - Alan Burroughs report, 1947",NAM0130,"Burroughs, Alan",,1947,1945,1949,Alan Burroughs Report,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery","Report only, no x-ray",2120,K1369,The Crucifixion,Attributed to Bernardo Daddi,National Gallery of Art,52A2_K1369_03_00006.pdf,2120,,
DOC00007,"K1369 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2120,K1369,The Crucifixion,Attributed to Bernardo Daddi,National Gallery of Art,52A2_K1369_04_00007.pdf,2120,,
DOC00008,"K0007 - Expert opinion by Gronau, 1926",NAM0869,Gronau ,,1926,1925,1929,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1800,K0007,Saint Apollonia Destroys a Pagan Idol,Giovanni d'Alemagna,National Gallery of Art,52A2_K0007_02_00008.pdf,1800,,
DOC00009,"K1395 - Art object record, circa 1930s-1950s",NAM0599,SHKF,,circa 1930s-1950s,1930,1959,Art Object Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1315,K1395,Madame de Caumartin as Hebe,Jean-Marc Nattier,National Gallery of Art,52A2_K1395_01_00009.pdf,1315,,
DOC00010,"K0007 - Expert opinion by Mayer, 1926",NAM0925,Mayer ,,1926,1925,1929,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1800,K0007,Saint Apollonia Destroys a Pagan Idol,Giovanni d'Alemagna,National Gallery of Art,52A2_K0007_02_00010.pdf,1800,,
DOC00011,"K1395 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1315,K1395,Madame de Caumartin as Hebe,Jean-Marc Nattier,National Gallery of Art,52A2_K1395_04_00011.pdf,1315,,
DOC00012,"K0007 - Expert opinion by Suida, 1926",NAM1066,Suida ,,1926,1925,1929,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1800,K0007,Saint Apollonia Destroys a Pagan Idol,Giovanni d'Alemagna,National Gallery of Art,52A2_K0007_02_00012.pdf,1800,,
DOC00013,"K0007 - Expert opinion by Perkins, 1926",NAM0992,Perkins ,Murray Keyes,1926,1925,1929,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1800,K0007,Saint Apollonia Destroys a Pagan Idol,Giovanni d'Alemagna,National Gallery of Art,52A2_K0007_02_00013.pdf,1800,,
DOC00014,"K0007 - Expert opinion by Berenson, circa 1920s-1950s",NAM0695,Berenson ,Murray Keyes,circa 1920s-1950s,1920,1959,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1800,K0007,Saint Apollonia Destroys a Pagan Idol,Giovanni d'Alemagna,National Gallery of Art,52A2_K0007_02_00014.pdf,1800,,
DOC00015,"K0007 - Expert opinion by A. Venturi, 1936",NAM1106,A. Venturi ,Murray Keyes,1936,1935,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1800,K0007,Saint Apollonia Destroys a Pagan Idol,Giovanni d'Alemagna,National Gallery of Art,52A2_K0007_02_00015.pdf,1800,,
DOC00016,"K0007 - Expert opinion by Fiocco, 1936",NAM0819,Fiocco ,,1936,1935,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1800,K0007,Saint Apollonia Destroys a Pagan Idol,Giovanni d'Alemagna,National Gallery of Art,52A2_K0007_02_00016.pdf,1800,,
DOC00017,"K0007 - Expert opinion by Suida, 1952",NAM1066,Suida ,,1952,1950,1954,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1800,K0007,Saint Apollonia Destroys a Pagan Idol,Giovanni d'Alemagna,National Gallery of Art,52A2_K0007_02_00017.pdf,1800,,
DOC00018,"K1391 - Art object record, circa 1930s-1950s",NAM0599,SHKF,,circa 1930s-1950s,1930,1959,Art Object Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2085,K1391,The Baptism of Christ,Nicolas Poussin,National Gallery of Art,52A2_K1391_01_00018.pdf,2085,,
DOC00019,"K0007 - Alan Burroughs report, circa 1930s-1940s",NAM0130,"Burroughs, Alan",,circa 1930s-1940s,1930,1949,Alan Burroughs Report,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1800,K0007,Saint Apollonia Destroys a Pagan Idol,Giovanni d'Alemagna,National Gallery of Art,52A2_K0007_03_00019.pdf,1800,,
DOC00020,"K0007 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1800,K0007,Saint Apollonia Destroys a Pagan Idol,Giovanni d'Alemagna,National Gallery of Art,52A2_K0007_04_00020.pdf,1800,,
