Acquisitions: Table 1

Acquisition_ID,Acquisition_TitleDescription,Acquisition_SellerNameID [NameAuthority::OfficialCombined],[NameAuthority::OfficialCombined] Seller Reference,Acquisition_Date,Acquisition_YearDateFilter,Acquisition_BeginDateFilter,Acquisition_EndDateFilter,Acquisition_Location,Acquisition_LocationFilter,Acquisition ObjectCount,Acquisition_PriceUSD,Acquisition_FinalPayDate,Acquisition_Source,Acquisition_Note,Acquisition_InternalNote,Acquisition_DocumentFilename,Acquisition_RelatedAcqObjJoinID,,,,,
ACQ003,"David Koetser Gallery, January 14, 1957 ",NAM0594,David Koetser Gallery,01/14/1957,1957,1955,1959,"New York, NY","New York, New York",9,"$230,000.00",03/03/1959,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,"Memorandum from 1/11/14 reports a payment of 5 installments, between 3/15/1957 and 3/3/1959. the total amount of these installments  is $295,000. they include the Canaletto k 2175. ",52C1_132893_19570114.pdf,PJN00132;PJN00375;PJN00376;PJN00377;PJN00378;PJN00379;PJN00381;PJN00382;PJN00383,,,,,
ACQ004,"David Koetser Gallery, March 11, 1957 ",NAM0594,David Koetser Gallery,03/11/1957,1957,1955,1959,"E 57th Street , New York, New York, NY","New York, New York",1,"$65,000.00",03/03/1959,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,"see purchase id 3. Payments combined with invoice dated January 14, 1957.",52C1_132893_19570311.pdf,PJN00138,,,,,
ACQ005,"Contini Bonacossi, Alessandro, April 12, 1927 ",NAM0267,Contini Bonacossi,04/12/1927,1927,1925,1929,"60 via Nomentana, Rome, Italy","Rome, Italy",2,"$3,500.00",04/12/1947,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,"invoiced to SHK not the foundation. the seller name is only Contini at this date. two versions, one is a copy. paid in one installment",52C1_132862_19270412.pdf,PJN02050;PJN02051,,,,,
ACQ006,"Duveen Brothers, January 13, 1942 ",NAM0345,Duveen Brothers,01/13/1942,1942,1940,1944,"720 Fifth Avenue, New York, NY","New York, New York",20,"$1,635,000.00",05/24/1943,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,"invoiced to the Foundation, paid in 7 installments",52C1_132875_19420113.pdf,PJN00004;PJN00010;PJN00011;PJN00012;PJN00013;PJN00022;PJN00029;PJN00047;PJN00048;PJN00071;PJN00072;PJN00073;PJN00110;PJN00118;PJN00130;PJN00186;PJN00187;PJN00189;PJN00190;PJN00191,,,,,
ACQ007,"David Koetser Gallery, January 20, 1954 ",NAM0594,David Koetser Gallery,01/20/1954,1954,1950,1954,"32 East 57th Street, New York, NY","New York, New York",6,"$121,000.00",01/26/1954,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,"Invoiced to the Foundation, paid in one installment",52C1_132893_19540120.pdf,PJN00285;PJN00286;PJN00287;PJN00288;PJN00290;PJN00291;,,,,,
ACQ008,"Duveen Brothers, January 9, 1946 ",NAM0345,Duveen Brothers,01/09/1946,1946,1945,1949,"720 Fifth Avenue, New York, NY","New York, New York",3,"$335,000.00",05/21/1947,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,"invoiced to the Foundation. this record seems to combine two different invoices regarding purchases made on the same day. letter of January 9th 1946 $250,000 for two paintings paid in 5 installments. $85,000 for medallion and carpet paid in 2 installments.",52C1_132875_19460109.pdf,PJN00134;PJN02044;PJN02045;,,,,,
ACQ009,"Duveen Brothers, October 31, 1947 ",NAM0345,Duveen Brothers,10/31/1947,1947,1945,1949,"720 Fifth Avenue, New York, NY","New York, New York",82,"$1,650,000.00",09/19/1951,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,"invoiced to the Foundation, Paid in 17 installments",52C1_132875_19471031.pdf,PJN01893;PJN01894;PJN01895;PJN01896;PJN01897;PJN01898;PJN01899;PJN01900;PJN01901;PJN01902;PJN01903;PJN01904;PJN01905;PJN01906;PJN01907;PJN01908;PJN01909;PJN01910;PJN01911;PJN01912;PJN01913;PJN01914;PJN01915;PJN01916;PJN01918;PJN01919;PJN01920;PJN01921;PJN01922;PJN01923;PJN01924;PJN01925;PJN01926;PJN01927;PJN01928;PJN01929;PJN01930;PJN01931;PJN01932;PJN01933;PJN01934;PJN01935;PJN01936;PJN01937;PJN01938;PJN01939;PJN01940;PJN01941;PJN01942;PJN01943;PJN01944;PJN01945;PJN01946;PJN01950;PJN01951;PJN01952;PJN01953;PJN01954;PJN01955;PJN01956;PJN01957;PJN01958;PJN01960;PJN01961;PJN01962;PJN01963;PJN01964;PJN01965;PJN01966;PJN01967;PJN01968;PJN01969;PJN01970;PJN01971;PJN01972;PJN01973;PJN01974;PJN01975;PJN01976;PJN01977;PJN01978;PJN02043;,,,,,
ACQ010,"Duveen Brothers, June 28, 1949 ",NAM0345,Duveen Brothers,06/28/1949,1949,1945,1949,"New York, NY","New York, New York",20,"$790,000.00",07/01/1952,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,paid in 8 installments,52C1_132875_19490628.pdf,PJN00003;PJN00005;PJN00007;PJN00015;PJN00042;PJN00055;PJN00057;PJN00081;PJN00082;PJN00126;PJN00127;PJN00216;PJN00217;PJN00218;PJN00219;PJN00220;PJN00221;PJN00446;PJN02031;PJN02495;,,,,,
ACQ011,"Bachstitz Gallery, May 18, 1937 ",NAM0067,Bachstitz Gallery,05/18/1937,1937,1935,1939,"The Savoy Plaza, New York, NY","New York, New York",11,"$25,000.00",05/19/1937,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,"sales tax NY: USD 500.00 (2% of USD 25,000).",52C1_132848_19370518.pdf,PJN00094,,,,,
ACQ012,"Thos. Agnew and Sons Ltd., May 5, 1949 ",NAM0007,Thos. Agnew and Sons Ltd.,05/05/1949,1949,1945,1949,"43 Old Bond Street, London, England","London, England",1,"$56,393.90",06/09/1949,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,"Exchange rate 4.02BOS in GBP. date of stamp (paid) 6/10/49 for the amount of GBP14,000.00 Included there is a check paid by Kress Foundation to Agnew through Chemical bank NYC in USD  59,393.75. date on check 6-9-49Receipt",52C1_132843_19490505.pdf,PJN00030,,,,,
