Master Acq Object Join Data : Table 1

AcqObjJoin_ID,AcqObjJoin_Type,AcqObjJoin_PriceUSD,AcqObjJoin_CreditUSD,AcqObjJoin_ReturnUSD,AcqObjJoin_Attribution,AcqObjJoin_AttributionArtistNameID,AcqObjJoin_InternalNote,AcqObjJoin_RelatedObjectID,AcqObjJoin_RelatedAcquisitionID,
PJN00001,Purchase,"$365,000.00",,,Acquired as Diane de Poitiers by François Clouet,NAM0259,,53,ACQ101,
PJN00002,Purchase,,,,Acquired as Sketch for Venice Alterpiece Scene by Sebastiano Ricci,NAM1002,"K163 and K164 bought as a pair for $ 7,000.00.",64,ACQ122,
PJN00003,Purchase,"$140,000.00",,,Acquired as A Vestal by Clodion,NAM0258,Object mislabeled as K1671 on invoice. ,124,ACQ010,
PJN00004,Purchase,,,,Acquired as La Live de Jully by Jean-Baptiste Greuze,NAM0500,"Bought with 9 frescoes (K1314-K1322), K1309, K1310, K1311, K1312, K1313, K1323, K1324, K1325, K1326, K1327, and K1328 for $1,635,000.",247,ACQ006,
PJN00005,Purchase,"$80,000.00",,,Acquired as The Apollo of Lycia by Elia Candido,NAM1306,,289,ACQ010,
PJN00006,Purchase,,,,Acquired as Apollo and Daphne by Giovanni Battista Tiepolo,NAM1160,"K1836 and K1837 purchased together for $50,000.",305,ACQ091,
PJN00007,Purchase,"$95,000.00",,,Acquired as A Bacchante by Claude Michel Clodion,NAM0258,Object mis-labeled as K1674 on invoice. ,349,ACQ010,
PJN00008,Purchase,"$10,600.00",,,"Acquired as Altobello Averoldo, Bishop of Brescia by Francesco Francia",NAM0410,,391,ACQ067,
PJN00009,Purchase,"$19,911.00",,,"Acquired as Cardinal Francesco Cennini by Giovanni Francesco Barbieri, called Guercino",NAM0511,,443,ACQ013,
PJN00010,Purchase,,,,Acquired as Fresco by Bernardino Luini,NAM0668,"Bought as part of a group of 9 frescoes (K1314-K1322) along with K1309, K1310, K1311, K1312, K1313, K1323, K1324, K1325, K1326, K1327, and K1328 for $1,635,000.",464,ACQ006,
PJN00011,Purchase,,,,Acquired as Fresco by Bernardino Luini,NAM0668,"Bought as part of a group of 9 frescoes (K1314-K1322) along with K1309, K1310, K1311, K1312, K1313, K1323, K1324, K1325, K1326, K1327, and K1328 for $1,635,000.",465,ACQ006,
PJN00012,Purchase,,,,Acquired as Fresco by Bernardino Luini,NAM0668,"Bought as part of a group of 9 frescoes (K1314-K1322) along with K1309, K1310, K1311, K1312, K1313, K1323, K1324, K1325, K1326, K1327, and K1328 for $1,635,000.",466,ACQ006,
PJN00013,Purchase,,,,Acquired as Fresco by Bernardino Luini,NAM0668,"Bought as part of a group of 9 frescoes (K1314-K1322) along with K1309, K1310, K1311, K1312, K1313, K1323, K1324, K1325, K1326, K1327, and K1328 for $1,635,000.",467,ACQ006,
PJN00014,Purchase,"$25,000.00",,,Acquired as Charity by Andrea del Sarto,NAM1064,,478,ACQ014,
PJN00015,Purchase,,,,Acquired as Christ in the Temple by Barendt van Orley,NAM0888,"This and K1670 purchased together for $10,000",502,ACQ010,
PJN00016,Purchase,,,,Acquired as Christ on Lake of Galilee by Jacopo Tintoretto,NAM1166,"K1345 and K1346 purchased together for $106,500.",508,ACQ103,
PJN00017,Purchase,"$170,000.00",,,Acquired as Christ Driving the Money-Changers out of the Temple by Domenikos Theotokopoulos (called El Greco),NAM0347,,514,ACQ102,
PJN00018,Purchase,,,,Acquired as Christ in Limbo by Wolf Huber,NAM1339,"K1868 and K1867 purchased together for $22,000.",520,ACQ094,
PJN00019,Purchase,"$2,000.00",,,Acquired as Christ and the Disciples by Bramantino,NAM0167,,523,ACQ059,
PJN00020,Purchase,"$12,500.00",,,Acquired as The Resurrected Christ by Bergognone,NAM0118,"
",524,ACQ086,
PJN00021,Purchase,"$50,000.00",,,Acquired as Ciborium by Desiderio da Settignano,NAM1089,,531,ACQ093,
PJN00022,Purchase,,,,Acquired as Circe by Dosso Dossi,NAM0331,"Bought with 9 frescoes (K1314-K1322), K1309, K1310, K1311, K1312, K1313, K1323, K1324, K1325, K1326, K1327, and K1328 for $1,635,000.",535,ACQ006,
PJN00023,Purchase,"$3,000.00",,,Acquired as Hunting Scene by G. B. Crespi,NAM0284,Re-purchase,634,ACQ125,
PJN00024,Purchase,"$54,545.45",,,Acquired as Decius Mus Telling His Dream by Sir Peter Paul Rubens,NAM1038,,652,ACQ081,
PJN00025,Purchase,"$200,000.00",,,Acquired as Doge Mocenigo and his Family before the Virgin and Child by Jacopo Tintoretto,NAM1166,,669,ACQ029,
PJN00026,Purchase,"$200,000.00",,,Acquired as Portrait of Doge Andrea Gritti by Titian,NAM1167,,670,ACQ023,
PJN00028,Purchase,"$15,000.00",,,Acquired as God the Father and Angels by Francesco di Giorgio Martini,NAM0698,,981,ACQ065,
PJN00029,Purchase,,,,Acquired as Family group by François-Hubert Drouais,NAM0337,"Bought with 9 frescoes (K1314-K1322), K1309, K1310, K1311, K1312, K1313, K1323, K1324, K1325, K1326, K1327, and K1328 for $1,635,000.",988,ACQ006,
PJN00030,Purchase,"$56,393.90",,,Acquired as The Holy Family on the Steps by Nicolas Poussin,NAM0967,,1059,ACQ012,
